# SPSA Success Log
t=2550 | iter=1 | score=150.0 | phase=plus | theta=[0.0388, 0.4196, 0.1728, 0.8983, 0.1742]
t=3071 | iter=1 | score=119.3 | phase=minus | theta=[0.0388, 0.4196, 0.1728, 0.8983, 0.1742]
t=3816 | iter=2 | score=124.9 | phase=plus | theta=[0.0010, 0.1810, 0.4114, 1.0000, 0.0010]
t=4123 | iter=2 | score=126.9 | phase=minus | theta=[0.0010, 0.1810, 0.4114, 1.0000, 0.0010]
t=4850 | iter=3 | score=150.0 | phase=minus | theta=[0.0010, 0.1652, 0.4273, 0.9873, 0.0010]
t=5629 | iter=4 | score=120.0 | phase=plus | theta=[0.1200, 0.5000, 0.5000, 0.5344, 0.4539]
t=6207 | iter=4 | score=114.3 | phase=minus | theta=[0.1200, 0.5000, 0.5000, 0.5344, 0.4539]
t=6861 | iter=5 | score=117.1 | phase=plus | theta=[0.1200, 0.4500, 0.4500, 0.4944, 0.4139]
t=7666 | iter=6 | score=125.1 | phase=plus | theta=[0.1200, 0.5000, 0.5000, 0.2009, 0.1203]
t=8003 | iter=6 | score=127.5 | phase=minus | theta=[0.1200, 0.5000, 0.5000, 0.2009, 0.1203]
t=8462 | iter=7 | score=124.5 | phase=plus | theta=[0.1200, 0.5000, 0.4779, 0.1832, 0.1027]
t=8998 | iter=7 | score=123.3 | phase=minus | theta=[0.1200, 0.5000, 0.4779, 0.1832, 0.1027]
t=9509 | iter=8 | score=138.7 | phase=minus | theta=[0.1200, 0.4893, 0.4887, 0.1918, 0.1113]
t=9820 | iter=9 | score=132.5 | phase=plus | theta=[0.0010, 0.0010, 0.5000, 0.0010, 0.0010]
